aX,aY,aZ,gX,gY,gZ
1.106,-0.405,-0.070,-9.705,-25.513,11.536
1.095,-0.355,-0.062,-4.456,-16.174,7.996
1.091,-0.322,-0.078,0.732,-7.324,4.211
1.115,-0.309,-0.121,3.845,1.465,2.197

0.973,-0.108,-0.020,7.629,-11.414,-8.301
0.924,-0.112,-0.088,-0.610,-6.042,-12.268
0.886,-0.071,0.046,-1.526,6.409,-11.047
0.908,-0.074,0.070,-1.953,18.250,-3.784
0.914,-0.074,0.074,-0.061,21.179,8.057
0.957,-0.062,0.096,1.587,21.362,21.362
0.997,-0.125,0.089,5.737,17.639,36.194
1.043,-0.200,0.062,9.155,10.681,45.349
1.055,-0.238,0.033,10.620,3.235,46.387
1.066,-0.282,0.012,9.460,-0.854,42.175
1.094,-0.312,0.004,7.263,-1.221,34.912
1.097,-0.322,-0.007,5.310,-1.099,25.330
1.088,-0.370,-0.023,4.822,-0.305,15.381
1.073,-0.407,-0.029,3.662,2.136,4.639
1.069,-0.448,-0.026,1.648,6.592,-5.066
1.084,-0.443,-0.042,-0.427,11.658,-13.489
1.103,-0.501,-0.044,1.038,16.052,-18.311
1.142,-0.568,-0.064,5.859,17.029,-18.555
1.184,-0.671,-0.066,9.888,12.390,-15.259
1.215,-0.741,0.079,6.226,2.869,-11.902
1.181,-0.761,-0.129,-4.089,-8.362,-10.132
1.116,-0.824,-0.125,-1.099,-13.550,-6.958
1.054,-0.846,-0.169,0.183,-11.902,-2.991
1.002,-0.838,-0.160,-2.319,-5.432,1.709
1.025,-0.788,-0.099,-2.197,4.028,9.277
0.968,-0.870,-0.028,2.625,8.911,17.578
0.968,-0.805,-0.017,3.601,9.766,22.522
1.028,-0.754,-0.034,7.446,10.986,24.780
1.101,-0.798,-0.036,19.409,9.399,25.024
1.154,-0.781,-0.016,26.978,-1.404,23.071
1.149,-0.704,-0.088,24.536,-20.813,20.447
1.084,-0.634,-0.080,14.282,-39.368,21.240
1.030,-0.610,-0.036,4.761,-50.293,23.071
0.933,-0.549,-0.011,-5.981,-57.068,25.330
0.793,-0.502,-0.021,-18.250,-57.861,27.527
0.659,-0.449,-0.057,-30.579,-48.950,28.748
0.549,-0.312,-0.104,-42.847,-32.471,27.954
0.574,-0.227,-0.148,-41.809,-5.188,22.278
0.637,-0.083,-0.198,-28.381,26.489,12.207
0.731,0.118,-0.184,-23.560,41.809,4.028
0.795,0.381,-0.122,-19.592,39.734,0.488
0.842,0.585,0.040,-7.690,21.851,2.502
0.882,0.755,0.073,14.099,-6.287,8.423
0.820,0.848,0.083,18.738,-34.607,20.325
0.683,0.817,0.120,6.775,-61.157,36.194
